group	names	scores	logfoldchanges	pvals	pvals_adj
15	IGLC2	4.8745637		1.0904929346145105e-06	0.00031156940988986016
15	ZNF350-AS1	4.817546		1.4533460139540702e-06	0.00036333650348851755
15	IGHM	4.671382		2.991799332168382e-06	0.0006648442960374183
15	DCD	4.611166		4.00417068118999e-06	0.0008008341362379979
16	SLC26A3	18.362225		2.635857320929681e-75	5.271714641859363e-72
16	GLRA3	16.877197		6.62143193813573e-64	6.62143193813573e-61
16	DIO1	8.045059		8.620401986155178e-16	5.746934657436785e-13
16	LINC01970	7.580397		3.444988501944918e-14	1.722494250972459e-11
16	FTL	5.2759633		1.320604456734738e-07	5.2824178269389526e-05
16	EGR4	4.9338956		8.060554037177373e-07	0.0002686851345725791
16	COL1A1	4.170736		3.036178200021428e-05	0.00759044550005357
16	AL022322.2	2.7901783		0.005267901355946254	0.9997918660199379
16	FN1	2.3730352		0.01764257742480867	0.9997918660199379
16	TUBA3E	2.3374205		0.01941732807875579	0.9997918660199379
17	C1R	33.661224		2.1364269232673823e-248	4.272853846534765e-245
17	C1S	29.909353		1.4871962726810934e-196	1.4871962726810932e-193
17	APOE	11.129165		9.04797560971187e-29	6.031983739807913e-26
17	SPARCL1	8.491145		2.046113961626412e-17	1.023056980813206e-14
17	SERPING1	5.5765653		2.453137099085278e-08	9.812548396341111e-06
17	HLA-DQB1	4.5160375		6.300755207202958e-06	0.0021002517357343194
17	AEBP1	4.3333526		1.4685552693443542e-05	0.004195872198126726
17	MMP3	4.0469627		5.1886475026420296e-05	0.012971618756605074
17	KCTD12	2.9360342		0.0033243755992781996	0.7387501331729333
17	RGCC	2.7959898		0.005174102233580047	0.9998490303036212
18	TAT-AS1	20.52094		1.39976212956314e-93	2.79952425912628e-90
18	DCD	19.839682		1.3531358321746864e-87	1.3531358321746863e-84
18	TRIM55	14.84955		7.003718291931012e-50	4.6691455279540075e-47
18	CAMP	8.333339		7.859396461629905e-17	3.9296982308149524e-14
18	CCL3L1	6.8615656		6.810990760860316e-12	2.660376415185911e-09
18	CARTPT	6.8388863		7.981129245557733e-12	2.660376415185911e-09
18	TRGC1	6.62067		3.5757485960410364e-11	1.0216424560117247e-08
18	SLC16A10	4.412281		1.0228725347702625e-05	0.0020457450695405247
18	AC243829.1	3.1406622		0.00168566383627263	0.280943972712105
18	CREM	2.8772955		0.0040109967052061	0.6170764161855539
19	C5orf49	27.926886		1.2585177397237673e-171	2.5170354794475345e-168
19	FAM183A	11.224198		3.1018511875568076e-29	3.1018511875568075e-26
19	FTL	8.769064		1.801570413147092e-18	1.2010469420980614e-15
19	FOXJ1	5.939527		2.8584538891266403e-09	1.42922694456332e-06
19	C1orf194	5.699764		1.1997363633024106e-08	4.798945453209642e-06
19	C9orf24	4.383306		1.1689163786412824e-05	0.0038963879288042747
19	BAALC	2.8443313		0.004450473559429906	0.9998940774382353
19	IGHA1	2.485243		0.012946299494807892	0.9998940774382353
19	CFAP126	2.2251444		0.0260715500384264	0.9998940774382353
19	TMEM190	2.2131195		0.02688941085455007	0.9998940774382353
20	HLA-DQB1	31.131483		9.03384084992889e-213	1.806768169985778e-209
20	HLA-DRB5	21.375431		2.2622413116778717e-101	2.2622413116778718e-98
20	HLA-DQA1	14.526246		8.262626916772558e-48	5.508417944515039e-45
20	IGLC2	3.7231724		0.00019673505645020981	0.08637013907003714
20	HLA-DQA2	3.6996167		0.00021592534767509287	0.08637013907003714
