group	names	scores	logfoldchanges	pvals	pvals_adj
22	TRAV12-2	0.0	-3.592643e-13	1.0	1.0
23	AC004801.6	0.5418602		0.5879148020389424	1.0
23	IGLV8-61	0.0	-2.3224842e-14	1.0	1.0
23	IGLV7-43	0.0	2.4506214e-13	1.0	1.0
23	C22orf15	0.0	-6.078502e-13	1.0	1.0
23	CRP	0.0	6.028849e-13	1.0	1.0
23	AL109910.2	0.0	-2.2423986e-14	1.0	1.0
23	OR3A1	0.0	-3.5349813e-13	1.0	1.0
23	LINC02132	0.0	4.401508e-13	1.0	1.0
23	IGLV9-49	0.0	-3.2258506e-13	1.0	1.0
23	TRAV6	0.0	3.3027327e-13	1.0	1.0
24	LILRB5	0.57316625		0.5665321447358491	1.0
24	MFAP4	0.5704091		0.568400248644435	1.0
24	LUZP2	0.56462884		0.5723262443970661	1.0
24	AL359834.1	0.56102526		0.5747803321359575	1.0
24	AC120498.8	0.0	4.4527628e-13	1.0	1.0
24	IL31	0.0	-8.051812e-13	1.0	1.0
24	FAM216B	0.0	-7.335847e-14	1.0	1.0
24	AC034114.2	0.0	-4.3806858e-13	1.0	1.0
24	AC069360.1	0.0	-5.766168e-15	1.0	1.0
24	OR3A1	0.0	-3.5349813e-13	1.0	1.0
