Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Protein Depolymerization (GO:0051261)	8/28	8.690326e-02	9.999950e-01	0	0	1.969158e+00	4.810573e+00	KIF18B;KIF2A;KIF14;MICAL3;KIF24;MICAL2;KIF2C;NCKAP5
GO_Biological_Process_2023	Regulation Of Monoatomic Ion Transport (GO:0043269)	8/28	8.690326e-02	9.999950e-01	0	0	1.969158e+00	4.810573e+00	KCNJ4;CLDN10;KCNJ9;NEDD4;KCNJ15;KCNJ16;WWP2;KCNJ18
GO_Biological_Process_2023	Inositol Phosphate-Mediated Signaling (GO:0048016)	6/19	8.697173e-02	9.999950e-01	0	0	2.271716e+00	5.547921e+00	PPP3CA;EDN1;PPP3R1;EDN2;EDN3;PLCE1
GO_Biological_Process_2023	Mitotic Sister Chromatid Cohesion (GO:0007064)	6/19	8.697173e-02	9.999950e-01	0	0	2.271716e+00	5.547921e+00	RB1;SGO1;CDCA5;ESCO2;HASPIN;HDAC8
GO_Biological_Process_2023	Cellular Response To Ionizing Radiation (GO:0071479)	13/52	8.885793e-02	9.999950e-01	0	0	1.641521e+00	3.973656e+00	YAP1;CDKN1A;BLM;XRCC6;GADD45A;BRCA2;RAD51AP1;DEPDC1B;WRN;MAP3K20;GRB2;CRYAB;TSPYL5
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Nucleus (GO:1900182)	17/72	8.991762e-02	9.999950e-01	0	0	1.522477e+00	3.667437e+00	YAP1;TCF7L2;LIMK2;PLK1;TESK1;LIF;EFCAB7;F2;IPO5;HYAL2;ZIC1;TCP1;CHP2;CDK1;CCT7;JAK1;ZPR1
GO_Biological_Process_2023	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	23/103	9.280725e-02	9.999950e-01	0	0	1.416518e+00	3.367389e+00	KCNH2;KCNJ4;SLC12A3;KCNE2;KCNK9;KCNJ9;SLC12A1;KCNJ15;KCNJ16;SLC5A1;KCNJ18;ATP12A;SLC9C1;SLC39A14;CACNA1H;TRPM1;ATP4B;SCNN1G;ATP4A;TRPV6;SCN8A;SLC12A8;SCN1A
GO_Biological_Process_2023	Cellular Glucuronidation (GO:0052695)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	UGT2B15;UGT2A3;UGT1A8;UGT2B7;UGT1A6
GO_Biological_Process_2023	Digestive Tract Morphogenesis (GO:0048546)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	ID2;SIX2;BBS7;FGFR2;EPHB3
GO_Biological_Process_2023	Glucuronate Metabolic Process (GO:0019585)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	UGT2B15;UGT2A3;UGT1A8;UGT2B7;UGT1A6
GO_Biological_Process_2023	Glycosaminoglycan Catabolic Process (GO:0006027)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	GLB1;FUCA1;HYAL2;HYAL4;GNS
GO_Biological_Process_2023	Midbody Abscission (GO:0061952)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	CHMP1B;CHMP1A;CHMP4C;MITD1;KIF20A
GO_Biological_Process_2023	Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	CCND3;CCNY;PDGFB;MAPRE3;EGFR
GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	DDIAS;FBH1;NACC2;SNAI1;TRIM32
GO_Biological_Process_2023	tRNA Wobble Uridine Modification (GO:0002098)	5/15	9.411364e-02	9.999950e-01	0	0	2.460741e+00	5.815351e+00	TRMT9B;TRMU;CTU2;ELP5;ELP6
GO_Biological_Process_2023	Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)	10/38	9.561557e-02	9.999950e-01	0	0	1.758372e+00	4.127637e+00	BTC;GPRC5B;EGF;DLG4;IL34;PDGFB;NEDD9;AGT;EREG;HBEGF
GO_Biological_Process_2023	Negative Regulation Of Ion Transmembrane Transporter Activity (GO:0032413)	7/24	9.660308e-02	9.999950e-01	0	0	2.026839e+00	4.737017e+00	TCAF2;CAB39;PRKCE;NEDD4;PCSK9;GOPC;OXSR1
GO_Biological_Process_2023	Outflow Tract Septum Morphogenesis (GO:0003148)	7/24	9.660308e-02	9.999950e-01	0	0	2.026839e+00	4.737017e+00	NELL2;BMPR2;FGF8;GATA6;NKX2-5;FGFR2;BMPR1A
GO_Biological_Process_2023	Positive Regulation Of BMP Signaling Pathway (GO:0030513)	7/24	9.660308e-02	9.999950e-01	0	0	2.026839e+00	4.737017e+00	CCNA2;SCUBE3;BMPR2;FOXD1;RBPJ;HES5;RNF165
GO_Biological_Process_2023	DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	11/43	9.800428e-02	9.999950e-01	0	0	1.692527e+00	3.931308e+00	GEN1;SMARCAL1;MMS22L;BLM;WRN;TIPIN;EME1;FANCM;FBH1;DONSON;TRAIP
GO_Biological_Process_2023	NADH Metabolic Process (GO:0006734)	3/7	9.904928e-02	9.999950e-01	0	0	3.690258e+00	8.532384e+00	MDH1;ME1;MDH1B
