names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
ANAPC16	14.29708	1.248947	2.281857573125747e-46	1.6367226373090976e-44	TNBC_enriched_9_vs_Normal_enriched_22	up
PTPRF	14.217894	1.7255296	7.095659595072511e-46	4.988163886655556e-44	TNBC_enriched_9_vs_Normal_enriched_22	up
C19orf53	14.206281	1.0268618	8.375711769919536e-46	5.795664085499224e-44	TNBC_enriched_9_vs_Normal_enriched_22	up
NINJ1	14.172729	2.1047018	1.3514647763553131e-45	9.242866658445542e-44	TNBC_enriched_9_vs_Normal_enriched_22	up
ETFB	14.16283	1.8497366	1.5559978174189363e-45	1.0600610613265305e-43	TNBC_enriched_9_vs_Normal_enriched_22	up
CST3	14.148177	1.7057123	1.9166058872611505e-45	1.3007119569508845e-43	TNBC_enriched_9_vs_Normal_enriched_22	up
WDR83OS	14.096504	1.0367643	3.990553846868269e-45	2.677312647452115e-43	TNBC_enriched_9_vs_Normal_enriched_22	up
TMEM14B	14.070823	1.3677126	5.739754336782953e-45	3.821810010284347e-43	TNBC_enriched_9_vs_Normal_enriched_22	up
NR4A1	14.030879	2.281729	1.0089287034347832e-44	6.6427414075025175e-43	TNBC_enriched_9_vs_Normal_enriched_22	up
PNKD	13.861557	2.1362324	1.0829943684772074e-43	6.974246580941725e-42	TNBC_enriched_9_vs_Normal_enriched_22	up
C12orf57	13.835565	1.2926855	1.5551129753158299e-43	9.875843028466638e-42	TNBC_enriched_9_vs_Normal_enriched_22	up
BASP1	13.8355255	3.9727066	1.5559559999511053e-43	9.875843028466638e-42	TNBC_enriched_9_vs_Normal_enriched_22	up
BST2	13.728086	2.6726282	6.893003515151283e-43	4.282642500874802e-41	TNBC_enriched_9_vs_Normal_enriched_22	up
TNNT1	13.664878	4.9579782	1.645793488429388e-42	1.0048451938870778e-40	TNBC_enriched_9_vs_Normal_enriched_22	up
ATP5PO	13.62361	1.2348408	2.89879564019831e-42	1.757706153652893e-40	TNBC_enriched_9_vs_Normal_enriched_22	up
TRPS1	13.59937	1.8319086	4.0389567885653466e-42	2.4076821802106597e-40	TNBC_enriched_9_vs_Normal_enriched_22	up
SRP9	13.571235	1.0618957	5.931464301212529e-42	3.512103610566949e-40	TNBC_enriched_9_vs_Normal_enriched_22	up
TMEM59	13.515625	1.0120636	1.264770731169341e-41	7.389695215722858e-40	TNBC_enriched_9_vs_Normal_enriched_22	up
TMEM134	13.464029	1.6996948	2.546424276347668e-41	1.4780150117156118e-39	TNBC_enriched_9_vs_Normal_enriched_22	up
